   	NODE	LAT	LON	LENGTH	AZIMUTH	DISTANCE	RANGE
106	106	59,8665784	30,4256275	13,9076246721562	139,462141899849	7999,4880708218	7759,52102875065
107	107	59,8665784	30,4256275	0		7999,4880708218	7759,52102875065
108	108	59,8658033	30,4269415	113,474545415852	139,600586871626	8112,96261623765	7870,09657998352
109	109	59,8653293	30,4277173	68,3954983149382	140,591010386527	8181,35811455259	7937,03567942548
110	110	59,8649447	30,4283302	54,9102858440146	141,338671229574	8236,2684003966	7990,93543380794
111	111	59,8645554	30,4289344	55,0188740676843	142,075195198489	8291,28727446429	8045,08469169644
112	112	59,8638664	30,4299855	96,7498713831724	142,551743205107	8388,03714584746	8140,47064925073
113	113	59,8631736	30,4310374	97,1140367698646	142,682169721204	8485,15118261733	8236,28350048192
114	114	59,8624938	30,4320726	95,3959296177605	142,600366749395	8580,54711223509	8330,40836443744
115	115	59,8612836	30,4339143	169,787663243507	142,617710893877	8750,33477547859	8498,01143018236
116	116	59,8603309	30,435354	133,318430208294	142,81038599957	8883,65320568689	8629,74304716345
117	117	59,8597702	30,4362099	78,7555242491922	142,531182735617	8962,40872993608	8707,52470017295
118	118	59,8592098	30,4370565	78,413145326544	142,817751412669	9040,82187526262	8785,04500363159
119	119	59,85855	30,4380815	93,2878918723958	142,043842002856	9134,10976713502	8877,09573312775
120	120	59,8580396	30,438925	73,944460046284	140,312636039286	9208,0542271813	8949,68652866309
121	121	59,8574602	30,4399082	84,8680981957038	139,565601152685	9292,92232537701	9032,81284613406
122	122	59,8571284	30,440491	49,3269736482995	138,587013581615	9342,24929902531	9080,96705823222
123	123	59,8568438	30,4410054	42,8528078354867	137,772333259085	9385,10210686079	9122,67570449332
124	124	59,8567561	30,4411639	13,2049888347285	137,774478612187	9398,30709569552	9135,53008001384
125	125	59,85644	30,4417511	48,198641533025	136,990071168633	9446,50573722855	9182,30387920561
126	126	59,8558878	30,4427836	84,4567852246615	136,80339155539	9530,96252245321	9264,23271917369
127	127	59,8553664	30,443772	80,2665451871345	136,409861097296	9611,22906764034	9342,00411955527
128	128	59,8552221	30,4440458	22,2241778975712	136,382702385636	9633,45324553791	9363,5422271025
129	129	59,8547957	30,4448486	65,4296248334955	136,605032443369	9698,88287037141	9427,03205648467
130	130	59,8544991	30,4454091	45,5927112884509	136,498335906906	9744,47558165986	9471,26815092837
131	131	59,8540599	30,4462144	66,5678013888997	137,360818997823	9811,04338304876	9536,1111735779
132	132	59,8538129	30,4466477	36,7015234696152	138,620195967907	9847,74490651838	9572,04431987053
133	133	59,8534573	30,4472525	52,1395607526246	139,497736263307	9899,884467271	9623,2576548811
134	134	59,853141	30,4477783	45,9373081538105	140,14310515503	9945,82177542481	9668,48060290054
135	135	59,8529006	30,4481638	34,4115094628236	141,153920942296	9980,23328488763	9702,46223207497
136	136	59,852667	30,4485272	33,0477913068317	142,000142571314	10013,2810761945	9735,17305095325
137	137	59,8522772	30,4491192	54,6525900279466	142,665662914954	10067,9336662224	9789,35927427653
138	138	59,8519858	30,4495423	40,2035884519918	143,899811162316	10108,1372546744	9829,32605129506
139	139	59,8516423	30,450011	46,4183226907029	145,577470238757	10154,5555773651	9875,60003663832
140	140	59,8515084	30,4502248	19,1348172068554	141,272659940041	10173,690394572	9894,50920602195
141	141	59,8510641	30,4508496	60,6349965504559	144,767110637778	10234,3253911224	9954,88609288986
142	142	59,8507334	30,4513121	45,0493920373532	144,915017832776	10279,3747831598	9999,75626747905
143	143	59,8507334	30,4513121	0		10279,3747831598	9999,75626747905
144	144	59,8499309	30,4524425	109,581473784907	144,72155929166	10388,9562569447	10108,875051378
145	145	59,8490003	30,4537522	127,037685277163	144,744437594262	10515,9939422218	10235,3930302284
146	146	59,8470262	30,456495	268,346595664192	145,090160688437	10784,340537886	10502,8192494891
147	147	59,8465892	30,4571474	60,8920918049191	143,133684393861	10845,232629691	10563,304742298
148	148	59,8461716	30,4578212	59,9273952012038	140,975531355527	10905,1600248922	10622,5360706527
149	149	59,8452457	30,4593235	133,167310984073	140,818783154248	11038,3273358762	10754,1288749151
150	150	59,8449278	30,459829	45,35925043471	141,38291276386	11083,6865863109	10799,0261087937
151	151	59,8445872	30,4603558	48,0843953547058	142,154093045758	11131,7709816656	10846,7122528522
152	152	59,8441577	30,4609617	58,6811863802512	144,676084371832	11190,4521680459	10905,1852945704
153	153	59,8427474	30,4629872	193,860956254607	144,18992623448	11384,3131243005	11098,2311994694
154	154	59,8422063	30,4637643	74,3795273988634	144,190111993198	11458,6926516994	11172,3054177764
155	155	59,8407793	30,4657677	194,658154957153	144,804379917926	11653,3508066565	11366,3572295242
156	156	59,8397178	30,4672257	143,765503251277	145,391727092603	11797,1163099078	11509,7942154201
157	157	59,8383738	30,4690717	182,027589581331	145,391187504326	11979,1438994891	11691,4170370362
